date,name,time,record identifier,record identifier 2,latitude,longitude,maximum sustained wind (in knots),minimum pressure (millibars),wind radii NE,wind raddi SE,wind radii SW,wind radii NW,wind radii NE 2,win radii SE,wind radii SW 2,wind radii NW 2,wind radii NE 3,wind radii SE,wind radii SW 3,wind radii NW 3
AL012010,,ALEX,32,,,,,,,,,,,,,,,,,
20100624,ALEX,1800,,LO,15.9,-82,25,1007,0,0,0,0,0,0,0,0,0,0,0,0
20100625,ALEX,0,,LO,16,-82.1,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100625,ALEX,600,,LO,16.1,-82.3,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100625,ALEX,1200,,LO,16.2,-82.5,30,1005,0,0,0,0,0,0,0,0,0,0,0,0
20100625,ALEX,1800,,TD,16.4,-83.1,30,1005,0,0,0,0,0,0,0,0,0,0,0,0
20100626,ALEX,0,,TD,16.6,-83.9,30,1004,0,0,0,0,0,0,0,0,0,0,0,0
20100626,ALEX,600,,TS,16.7,-84.9,40,1004,90,90,0,0,0,0,0,0,0,0,0,0
20100626,ALEX,1200,,TS,16.9,-86.1,40,1004,90,90,0,0,0,0,0,0,0,0,0,0
20100626,ALEX,1800,,TS,17.2,-87.2,55,996,100,75,30,30,0,0,20,0,0,0,0,0
20100627,ALEX,0,L,TS,17.5,-88.2,55,995,90,75,30,30,0,15,15,0,0,0,0,0
20100627,ALEX,600,,TS,18,-89.1,55,991,90,90,30,30,0,15,15,0,0,0,0,0
20100627,ALEX,1200,,TS,18.5,-90,45,992,60,30,30,60,0,0,0,0,0,0,0,0
20100627,ALEX,1800,,TS,18.9,-90.7,35,993,30,30,30,30,0,0,0,0,0,0,0,0
20100628,ALEX,0,,TS,19.2,-91.1,40,991,60,30,30,60,0,0,0,0,0,0,0,0
20100628,ALEX,600,,TS,19.5,-91.4,40,991,60,30,30,60,0,0,0,0,0,0,0,0
20100628,ALEX,1200,,TS,20,-91.6,50,989,60,30,30,60,25,0,0,0,0,0,0,0
20100628,ALEX,1800,,TS,20.3,-91.7,50,990,60,30,30,60,25,0,0,0,0,0,0,0
20100629,ALEX,0,,TS,20.7,-91.7,55,987,60,60,30,60,25,0,0,0,0,0,0,0
20100629,ALEX,600,,TS,21.5,-91.9,55,985,90,90,30,60,45,20,15,20,0,0,0,0
20100629,ALEX,1200,,TS,22.4,-92.7,60,983,120,100,50,100,60,30,15,20,0,0,0,0
20100629,ALEX,1800,,TS,22.9,-93.6,60,981,150,100,50,100,60,30,15,20,0,0,0,0
20100630,ALEX,0,,HU,23,-94.4,65,973,150,150,75,130,80,80,30,40,15,15,15,15
20100630,ALEX,600,,HU,23.1,-94.8,70,966,180,150,90,130,80,80,30,40,20,20,15,15
20100630,ALEX,1200,,HU,23.5,-95.2,75,958,180,150,100,130,80,80,30,40,50,20,15,15
20100630,ALEX,1500,T,HU,24,-95.5,75,958,180,150,100,130,80,80,30,40,50,20,15,15
20100630,ALEX,1800,,HU,24.3,-96.2,80,962,180,180,120,130,90,80,60,40,50,30,15,15
20100701,ALEX,0,,HU,24.3,-97.3,90,948,180,180,120,120,90,90,60,50,50,30,15,15
20100701,ALEX,200,L,HU,24.2,-97.7,95,946,180,180,120,120,90,90,60,50,50,30,15,15
20100701,ALEX,600,,HU,24.1,-98.4,75,963,180,180,120,90,75,75,30,30,20,20,10,10
20100701,ALEX,1200,,TS,23.5,-99.5,60,977,120,120,120,75,50,50,25,25,0,0,0,0
20100701,ALEX,1800,,TS,23.1,-100.7,40,987,60,60,105,60,0,0,0,0,0,0,0,0
20100702,ALEX,0,,TD,23.2,-101.9,30,997,0,0,0,0,0,0,0,0,0,0,0,0
AL022010,,TWO,13,,,0,,,,,,,,,,,,,,
20100707,TWO,600,,LO,21.5,-91.1,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100707,TWO,1200,,LO,22.1,-92,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100707,TWO,1800,,LO,22.8,-92.8,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100708,TWO,0,,TD,23.7,-93.7,30,1005,0,0,0,0,0,0,0,0,0,0,0,0
20100708,TWO,600,,TD,24.7,-95,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100708,TWO,1200,,TD,26.1,-96.6,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100708,TWO,1400,L,TD,26.1,-97.1,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
20100708,TWO,1800,,TD,26.1,-97.8,25,1007,0,0,0,0,0,0,0,0,0,0,0,0
