year,type/category,name,start(dd-mm),end (dd-mm),max_wind (knots),min_pressure,deaths,damage_cost
2010,H,Alex,24-Jun,2-Jul,95,946,,
2010,TD,Two,7-Jul,10-Jul,30,1005,,
2010,TS,Bonnie,22-Jul,25-Jul,40,1005,,
2010,TS,Colin,2-Aug,8-Aug,50,1005,,
2010,TD,Five,10-Aug,18-Aug,30,1007,,
2010,MH,Danielle,21-Aug,3-Sep,115,942,,
2010,MH,Earl,24-Aug,6-Sep,125,927,,
2010,TS,Fiona,30-Aug,4-Sep,55,998,,
2010,TS,Gaston,1-Sep,8-Sep,35,1005,,
2010,TS,Hermine,4-Sep,10-Sep,60,989,,
2010,MH,Igor,8-Sep,23-Sep,135,924,,
2010,MH,Julia,12-Sep,24-Sep,120,948,,
2010,MH,Karl,13-Sep,18-Sep,110,956,,
2010,H,Lisa,20-Sep,29-Sep,75,982,,
2010,TS,Matthew,23-Sep,26-Sep,50,998,,
2010,TS,Nicole,28-Sep,30-Sep,40,994,,
2010,H,Otto,6-Oct,17-Oct,75,976,,
2010,H,Paula,11-Oct,15-Oct,90,981,,
2010,H,Richard,19-Oct,26-Oct,85,977,,
2010,H,Shary,28-Oct,30-Oct,65,989,,
2010,H,Tomas,29-Oct,10-Nov,85,982,,
2011,TS,Jose,27-Aug,28-Aug,39,1006,,
2011,MH,Katia,29-Aug,10-Sep,122,942,,
2011,TS,Unnamed,1-Sep,2-Sep,39,1002,,
2011,TS,Lee,2-Sep,5-Sep,52,986,,
2011,H,Maria,6-Sep,16-Sep,70,983,,
2011,H,Nate,7-Sep,11-Sep,65,994,,
2011,MH,Ophelia,20-Sep,3-Oct,122,940,,
2011,H,Philippe,24-Sep,8-Oct,78,976,,
2011,MH,Rina,23-Oct,28-Oct,100,966,,
2011,TS,Sean,8-Nov,11-Nov,65,982,,
2012,TS,Alberto,9-May,22-May,50,995,,
2012,TS,Beryl,26-May,30-May,60,992,1,
2012,H,Chris,18-Jun,22-Jun,75,974,,
2012,TS,Debby,23-Jun,27-Jun,55,990,5,250
2012,H,Ernesto,1-Aug,10-Aug,85,973,7,
2012,TS,Florence,3-Aug,6-Aug,50,1002,,
2012,H,Gordon,15-Aug,20-Aug,95,965,,
2012,TS,Helene,9-Aug,18-Aug,40,1004,,
2012,H,Isaac,21-Aug,1-Sep,70,965,34,2350
2012,TS,Joyce,22-Aug,24-Aug,35,1006,,
2012,H,Kirk,28-Aug,2-Sep,90,970,,
2012,H,Leslie,30-Aug,11-Sep,70,968,,
2012,MH,Michael,3-Sep,11-Sep,100,964,,
2012,H,Nadine,10-Sep,3-Oct,80,978,,
2012,TS,Oscar,3-Oct,5-Oct,45,994,,
2012,TS,Patty,11-Oct,13-Oct,40,1005,,
2012,H,Rafael,12-Oct,17-Oct,80,969,1,
2012,MH,Sandy,22-Oct,29-Oct,100,940,147,50000
2012,TS,Tony,22-Oct,25-Oct,45,1000,,
2013,TS,Andrea,5-Jun,7-Jun,55,992,1,
2013,TS,Barry,17-Jun,20-Jun,40,1003,5,
2013,TS,Chantal,7-Jul,10-Jul,55,1003,1,
2013,TS,Dorian,23-Jul,3-Aug,50,1002,,
2013,TS,Erin,15-Aug,18-Aug,40,1006,,
2013,TS,Fernand,25-Aug,26-Aug,50,1001,14,
